"Emissiebronnen";"Emissies naar lucht";"Perioden";"Emissies naar lucht (mln kg)"
"Wegverkeer; totaal";"Stikstofoxiden (NOx)";"2010";"    97.6"
"Wegverkeer; totaal";"Stikstofoxiden (NOx)";"2011";"    94.2"
"Wegverkeer; totaal";"Stikstofoxiden (NOx)";"2012";"    91.1"
"Wegverkeer; totaal";"Stikstofoxiden (NOx)";"2013";"    85.8"
"Wegverkeer; totaal";"Stikstofoxiden (NOx)";"2014";"    82.5"
"Wegverkeer; totaal";"Stikstofoxiden (NOx)";"2015";"    81.1"
"Wegverkeer; totaal";"Stikstofoxiden (NOx)";"2016";"    80.9"
"Wegverkeer; totaal";"Stikstofoxiden (NOx)";"2017";"    78.8"
"Wegverkeer; totaal";"Stikstofoxiden (NOx)";"2018";"    78.2"
"Wegverkeer; totaal";"Stikstofoxiden (NOx)";"2019";"    72.4"
"Wegverkeer; totaal";"Stikstofoxiden (NOx)";"2020";"    59.2"
"Wegverkeer; totaal";"Stikstofoxiden (NOx)";"2021";"    57.5"
"Wegverkeer; totaal";"Stikstofoxiden (NOx)";"2022";"    56.4"
"Wegverkeer; totaal";"Stikstofoxiden (NOx)";"2023*";"    53.0"
"Wegverkeer; totaal";"Zwaveldioxide (SO2)";"1990";"    12.8"
"Wegverkeer; totaal";"Zwaveldioxide (SO2)";"1995";"    11.9"
"Wegverkeer; totaal";"Zwaveldioxide (SO2)";"2000";"     3.0"
"Wegverkeer; totaal";"Zwaveldioxide (SO2)";"2001";"     0.8"
"Wegverkeer; totaal";"Zwaveldioxide (SO2)";"2002";"     0.8"
"Wegverkeer; totaal";"Zwaveldioxide (SO2)";"2003";"     0.5"
"Wegverkeer; totaal";"Zwaveldioxide (SO2)";"2004";"     0.6"
"Wegverkeer; totaal";"Zwaveldioxide (SO2)";"2005";"     0.2"
"Wegverkeer; totaal";"Zwaveldioxide (SO2)";"2006";"     0.3"
"Wegverkeer; totaal";"Zwaveldioxide (SO2)";"2007";"     0.3"
"Wegverkeer; totaal";"Zwaveldioxide (SO2)";"2008";"     0.2"
"Wegverkeer; totaal";"Zwaveldioxide (SO2)";"2009";"     0.2"
"Wegverkeer; totaal";"Zwaveldioxide (SO2)";"2010";"     0.2"
"Wegverkeer; totaal";"Zwaveldioxide (SO2)";"2011";"     0.2"
"Wegverkeer; totaal";"Zwaveldioxide (SO2)";"2012";"     0.2"
"Wegverkeer; totaal";"Zwaveldioxide (SO2)";"2013";"     0.2"
"Wegverkeer; totaal";"Zwaveldioxide (SO2)";"2014";"     0.2"
